address,allocation
0x4ebee35b7302bad5acd8d199ec52d619887d1da1,0.0360%
0x0a75ca4775e6eaba905f4c0699418d188ef14621,0.0360%
0x6cbc4e142dfb2c4d0e95fc75c74b62f94a3a3e68,0.0360%
0x47898ff601d995a2b52adb968a7916acdcf303b8,0.0360%
0x36fa5a5320134512c5977242b56bf72653776b99,0.0360%
0x49274aad36c99d04db988487c542fb273e804115,0.0360%
0xb6a30ef01f74c83abdd5aab625b4558651d73f69,0.0360%
0xfb59857ee645995dd231b37ba36c6dd88c94230f,0.0397%
0xb0994e14dd08d7fbe85119b62df211c8488d2063,0.0360%
0xbeb14f63f73d2193131d756247af8b6e852dcb02,0.0360%
0x66e00e8210d375abebe0a21bdad6b6f9419de3d8,0.1123%
0x622b581fdb3901dda3bd67da6fe1516ee0b28c35,0.0500%
0xf14ff54d00623d13128f5031106779bc9d00274a,0.0505%
0xba70fc3e345d818541227225282e01a576396586,0.0612%
0x838e8dc6d87dfc6af2ccd64264fdac41331ec921,0.0889%
0xda91983e746cc122fc3e51fab2ad5177aa36bc6c,0.0947%
0xbb9f1391221b18978c21c3cc8dd2ddecff8d9a0b,0.0629%
0x6718d54fb60710650a8fdeea9d16a92dbd88de7d,0.0687%
0xcf72173c14a5e3cfdf76c69a2677028ffa3209e5,0.0999%
0xde489c8e2eaf76f09944abf8b9b62132e69d4a00,0.1680%
0xbbaf76cf1ed3e74acbfe463c26e4c07e6fe6c864,0.0498%
0x3622fc18e57d4adea145a4d411fa94c0135435f0,0.0604%
0x04ccc7fa2fc600914fa95db34ab27c9437e742fd,0.0799%
0x4a411d6636934d91e52a0c912afe833bb73a74fa,0.0493%
0xe9a5ad06daca1bf8d48c9fd98ddfbd34e8cf0776,0.0907%
0x158f9bb510ac672396a8e73a98170896ff2788a1,0.0196%
0xe842c8f4c45f4dbdab39fd4ee3a0df0daac10b92,0.0681%
0x9353da3d1fabbb85b20aff5636cde1f58253bbcf,0.0448%
0x484a7a94b58fc9c099fa89e11221fa57681b3c07,0.0251%
0xa0b9573d5b3a670f41eb5a1920e54b098526b261,0.0496%
0xbe81f6f6a288445cf3e9c47a5aeb3be2778d75fd,0.0194%
0x3e154b0b4c4c5005b6f8a2cef1d9656ea63bafb4,0.0194%
0xd9afaa9b007dfe9c434bebbb3ec7b5a63251a745,0.0194%
0xa27c16e875bb134cc7cfa99ab9721fea0260e533,0.0194%
0x4286535ebe12b0edb4d8e60703dee43e7c7d5226,0.0194%
0xab0f032abed79b4162fd666921ac1f4ce9819375,0.0194%
0xa6c0e4f596a107c2b5e2b1ff010140a808c7134c,0.0194%
0xf50217085d6f3c86561f044e4f48099f6c76ea37,0.0194%
0x036c5563a2bb596fb078bc3451d2e7b4c16bf173,0.0194%
0xf94d066dca0973dbfcf72b3ae9f8f1a729ccca5c,0.0194%
0xbeed8033cb0419da2c1c967fb9a6224edcd2f40e,0.0194%
0xa853c62e91d0222485d76bf38914030413163f05,0.0194%
0x68cb97d0dc74ea3031de8d716cd58f442dab43bc,0.0194%
0x089660aa29cb35ecf750bc6a746f51f03a359504,0.0194%
0x74a711a1256b73b942e28b1c3af5fbe9f6d3de1d,0.0194%
0x11ea9589d8ad2f6d48b340b82148b6d96a6729e9,0.0910%
0x65094c212e41a919babea67973ebc79a27a47f00,0.0194%
0xfa517eb06dfad9ab2ce5bd17a84bd1beb68310fd,0.0194%
0xa951ddfe6154f4cf3a513f31139c3eafa360a7f7,0.0194%
0xada51e6c2e83027105fba4cf3b9b545cb209b5e9,0.0495%
0x84f9bc5c46a797b0886f2822d06f52849017d872,0.0194%
0x960c300b170e6f0460879ea4abf1b27cbe3c2e56,0.0250%
0x53865c4bcbac676c393fbc9512abfae13205321f,0.0250%
0xe02a1638f8fe3308f51511222e078cfe0168a348,0.0682%
0x67c1e37d96d495c7cf9902089205192dacbb54e2,0.0677%
0x6c86c28cdf53ce3436d4ad94b7d820e5aac861f7,0.0446%
0x0b94b5f7310564adfab1b9ba044297d3b9950b86,0.0735%
0x3c9cf14a1c9ffe5977763f868391e4839369d227,0.0399%
